Timestamp, AgeGroup,Gender,YearsExperience,Discipline,PolicyAwareness_NG,PolicyAwareness_NG_Code,PolicyAwareness_Global,PolicyAwareness_Global_Code,OrgAdoption,OrgAdoption_Code,PersonalAdoption,PersonalAdoption_Code,Sustainable_pratice_implemented,Adopt_Waste,Adopt_Water,Adopt_Energy,Adopt_GreenInfra,Adopt_ClimateDesign,AdoptionScore,Infrastructure_reliability,Infra_Water,Infra_Electricity,Infra_Waste,Infra_Sewer,Infra_Internet,InfraIndex,Critical_gaps,balanced_state,Region,ClimatePolicy_Familiarity,ClimatePolicy_Familiarity_Code,Paris_Target_Achievability,Paris_Target_Achievability_Code,observed_urban_changes ,Change_Flooding,Change_LandUse,Change_UrbanSprawl,Change_Temperature,Change_InformalSettlement,ChangeScore,Perceived_Professional_Impact_on_SUD,Perceived_Professional_Impact_on_SUD_code,Key_Contribution_Areas,Contrib_Waste,Contrib_Water,Contrib_Energy,Contrib_GreenInfra,Contrib_ClimateDesign,ContributionScore,Column 51,Column 52
2025-08-20 15:09:48,35 - 44,Male,6 - 10 years,Real Estate Professionals,Very familiar,2,"Yes, i am very familiar",2,"Yes, extensively",2,"Yes, but only occasionally or when required.",2,"Waste management strategies (e.g., recycling, composting, safe disposal), Water conservation methods (e.g., rainwater harvesting, low-flow systems), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements)",1,1,1,1,0,4,"Clean water supply, Solid waste collection, Sewerage/drainage",1,0,1,1,0,3,"Poor implementation by institutions, Lack of awareness about sustainability policies, Not enough funding for green projects, Weak public involvement in sustainability efforts",Port-Harcourt,South South,Very familiar,2,"Yes, but only with significant efforts and external support",3,"Increased flooding, Land-use change, Rising temperatures",1,1,0,1,0,3,To a great extent,2,"Waste Management, Water Conservation, Energy Efficiency, Green Infrastructure",1,1,1,1,0,4,,
2025-08-20 20:57:07,25 - 34,Male,11 - 20 years,Real Estate Professionals,Somewhat familiar,1,"Yes, i am very familiar",2,"Yes, to some extent",1,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Climate-resilient design (e.g., flood proof designs, heat-resilient materials)",1,0,1,0,1,3,"Clean water supply, Electricity, Solid waste collection, Sewerage/drainage, Internet access",1,1,1,1,1,5,"Poor implementation by institutions, Lack of awareness about sustainability policies, Not enough funding for green projects, Unorganized infrastructure for water, waste, and energy, Low government support for sustainability, Limited knowledge about renewable energy solutions, Weak public involvement in sustainability efforts, Regional inequality in infrastructure or service delivery",Ibadan,South West,Somewhat familiar,1,"No, achieving these goals seems unlikely under current circumstances",1,"Land-use change, Urban sprawl, Informal settlement expansion",0,1,1,0,1,3,To a great extent,2,"Waste Management, Water Conservation, Energy Efficiency, Green Infrastructure, Climate-resilient Design",1,1,1,1,1,5,,
2025-08-21 09:27:55,35 - 44,Female,6 - 10 years,Real Estate Professionals,Very familiar,2,Somewhat familiar,1,"Yes, extensively",2,"Yes, I actively incorporate sustainability in my work.",3,"Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Climate-resilient design (e.g., flood proof designs, heat-resilient materials)",0,0,1,0,1,2,"Clean water supply, Electricity, Solid waste collection, Sewerage/drainage, Internet access",1,1,1,1,1,5,"Poor implementation by institutions, Lack of awareness about sustainability policies, Not enough funding for green projects, Low government support for sustainability, Regional inequality in infrastructure or service delivery",Lagos,South West,Somewhat familiar,1,"Yes, but only with significant efforts and external support",3,"Increased flooding, Rising temperatures, Informal settlement expansion",1,0,0,1,1,3,To a great extent,2,"Waste Management, Water Conservation, Energy Efficiency, Green Infrastructure, Climate-resilient Design",1,1,1,1,1,5,,
2025-08-21 22:54:08,Under 25,Male,0 -2 years,Builders,Not familiar,0,Somewhat familiar,1,"Yes, to some extent",1,"Yes, but only occasionally or when required.",2,"Waste management strategies (e.g., recycling, composting, safe disposal), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements)",1,0,1,1,0,3,"Clean water supply, Electricity, Internet access",1,1,0,0,1,3,"Poor implementation by institutions, Not enough funding for green projects, Low government support for sustainability, Limited knowledge about renewable energy solutions",Lagos,South West,Not familiar,0,I am unsure or do not have enough information on the topic.,2,"Increased flooding, Rising temperatures",1,0,0,1,0,2,To a great extent,2,"Waste Management, Energy Efficiency, Green Infrastructure",1,0,1,1,0,3,,
2025-08-23 15:01:27,25 - 34,Male,6 - 10 years,Architect,Somewhat familiar,1,"Yes, i am very familiar",2,"Yes, to some extent",1,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal), Water conservation methods (e.g., rainwater harvesting, low-flow systems), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Climate-resilient design (e.g., flood proof designs, heat-resilient materials)",1,1,1,0,1,4,"Electricity, Solid waste collection, Sewerage/drainage, Internet access",0,1,1,1,1,4,"Poor implementation by institutions, Lack of awareness about sustainability policies, Not enough funding for green projects, Unorganized infrastructure for water, waste, and energy, Low government support for sustainability, Limited knowledge about renewable energy solutions",Lagos,South West,Not familiar,0,"No, achieving these goals seems unlikely under current circumstances",1,"Increased flooding, Land-use change, Rising temperatures",1,1,0,1,0,3,To a great extent,2,"Waste Management, Water Conservation, Energy Efficiency, Green Infrastructure, Climate-resilient Design",1,1,1,1,1,5,,
2025-08-23 21:05:42,35 - 44,Male,11 - 20 years,Environmental Professionals,Expert level,3,"Yes, i am very familiar",2,"Yes, extensively",2,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs)",1,0,1,0,0,2,"Electricity, Solid waste collection, Internet access",0,1,1,0,1,3,"Poor implementation by institutions, Lack of awareness about sustainability policies, Not enough funding for green projects, Unorganized infrastructure for water, waste, and energy, Low government support for sustainability, Limited knowledge about renewable energy solutions, Weak public involvement in sustainability efforts, Regional inequality in infrastructure or service delivery",Ibadan,South West,Expert level,3,"No, achieving these goals seems unlikely under current circumstances",1,"Urban sprawl, Informal settlement expansion",0,0,1,0,1,2,To a moderate extent,1,"Waste Management, Water Conservation, Energy Efficiency, Green Infrastructure, Climate-resilient Design, Planning and Design",1,1,1,1,1,5,,
2025-08-25 00:09:01,25 - 34,Male,3 - 5 years,Real Estate Professionals,Very familiar,2,"Yes, i am very familiar",2,"Yes, extensively",2,"Yes, I actively incorporate sustainability in my work.",3,"Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements), Climate-resilient design (e.g., flood proof designs, heat-resilient materials)",0,0,1,1,1,3,"Electricity, Solid waste collection, Sewerage/drainage",0,1,1,1,0,3,"Unorganized infrastructure for water, waste, and energy, Regional inequality in infrastructure or service delivery",Ibadan,South West,Somewhat familiar,1,"Yes, but only with significant efforts and external support",3,Informal settlement expansion,0,0,0,0,1,1,To a great extent,2,"Energy Efficiency, Green Infrastructure",0,0,1,1,0,2,,
2025-08-25 08:30:42,25 - 34,Female,6 - 10 years,Real Estate Professionals,Expert level,3,"Yes, i am very familiar",2,"Yes, to some extent",1,"Yes, but only occasionally or when required.",2,"Waste management strategies (e.g., recycling, composting, safe disposal), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements)",1,0,1,1,0,3,"Clean water supply, Electricity, Solid waste collection, Sewerage/drainage, Internet access",1,1,1,1,1,5,"Poor implementation by institutions, Not enough funding for green projects, Low government support for sustainability, Weak public involvement in sustainability efforts, Regional inequality in infrastructure or service delivery",Lagos,South West,Somewhat familiar,1,"Yes, but only with significant efforts and external support",3,"Increased flooding, Land-use change, Rising temperatures",1,1,0,1,0,3,To a great extent,2,"Waste Management, Water Conservation, Green Infrastructure",1,1,0,1,0,3,,
2025-08-25 14:11:48,35 - 44,Male,11 - 20 years,Real Estate Professionals,Very familiar,2,"Yes, i am very familiar",2,"Yes, extensively",2,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal), Water conservation methods (e.g., rainwater harvesting, low-flow systems), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements), Climate-resilient design (e.g., flood proof designs, heat-resilient materials)",1,1,1,1,1,5,"Clean water supply, Electricity, Solid waste collection, Sewerage/drainage, Internet access",1,1,1,1,1,5,"Poor implementation by institutions, Lack of awareness about sustainability policies, Not enough funding for green projects, Unorganized infrastructure for water, waste, and energy, Low government support for sustainability, Limited knowledge about renewable energy solutions, Weak public involvement in sustainability efforts, Regional inequality in infrastructure or service delivery",Lagos,South West,Very familiar,2,"Yes, but only with significant efforts and external support",3,"Increased flooding, Land-use change, Urban sprawl, Rising temperatures, Informal settlement expansion",1,1,1,1,1,5,To a great extent,2,"Waste Management, Water Conservation, Energy Efficiency, Green Infrastructure, Climate-resilient Design",1,1,1,1,1,5,,
2025-08-27 11:47:46,25 - 34,Male,0 -2 years,Environmental Professionals,Somewhat familiar,1,"Yes, i am very familiar",2,"Yes, extensively",2,"No, but I am interested in adopting sustainable practices.",1,"Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs)",0,0,1,0,0,1,Internet access,0,0,0,0,1,1,"Lack of awareness about sustainability policies, Limited knowledge about renewable energy solutions",Abuja,North Central,Somewhat familiar,1,"No, achieving these goals seems unlikely under current circumstances",1,"Increased flooding, Rising temperatures, Informal settlement expansion",1,0,0,1,1,3,To a great extent,2,"Waste Management, Water Conservation, Energy Efficiency, Green Infrastructure",1,1,1,1,0,4,,
2025-08-27 18:35:11,25 - 34,Male,3 - 5 years,Real Estate Professionals,Very familiar,2,"Yes, i am very familiar",2,"Yes, to some extent",1,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements)",1,0,1,1,0,3,"Clean water supply, Electricity, Solid waste collection, Internet access",1,1,1,0,1,4,"Poor implementation by institutions, Lack of awareness about sustainability policies, Not enough funding for green projects, Low government support for sustainability, Limited knowledge about renewable energy solutions, Weak public involvement in sustainability efforts",Lagos,South West,Not familiar,0,I am unsure or do not have enough information on the topic.,2,"Increased flooding, Land-use change",1,1,0,0,0,2,To a great extent,2,"Waste Management, Water Conservation, Energy Efficiency, Green Infrastructure, Climate-resilient Design",1,1,1,1,1,5,,
2025-08-28 15:40:26,25 - 34,Female,0 -2 years,Engineers,Somewhat familiar,1,Somewhat familiar,1,"Yes, to some extent",1,"Yes, but only occasionally or when required.",2,"Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs)",0,0,1,0,0,1,"Electricity, Internet access",0,1,0,0,1,2,"Not enough funding for green projects, Unorganized infrastructure for water, waste, and energy, Low government support for sustainability, Weak public involvement in sustainability efforts",Lagos,South West,Somewhat familiar,1,I am unsure or do not have enough information on the topic.,2,Informal settlement expansion,0,0,0,0,1,1,To a moderate extent,1,"Waste Management, Water Conservation, Energy Efficiency, Green Infrastructure, Climate-resilient Design",1,1,1,1,1,5,,
2025-08-28 15:50:50,25 - 34,Male,0 -2 years,Engineers,Very familiar,2,Somewhat familiar,1,"Yes, extensively",2,"Yes, but only occasionally or when required.",2,"Waste management strategies (e.g., recycling, composting, safe disposal)",1,0,0,0,0,1,Solid waste collection,0,0,1,0,0,1,"Lack of awareness about sustainability policies, Limited knowledge about renewable energy solutions",Enugu,South East,Not familiar,0,I am unsure or do not have enough information on the topic.,2,"Increased flooding, Land-use change, Urban sprawl",1,1,1,0,0,3,To a great extent,2,Waste Management,1,0,0,0,0,1,,
2025-08-28 17:55:00,Under 25,Male,0 -2 years,Engineers,Somewhat familiar,1,Somewhat familiar,1,"Yes, to some extent",1,"Yes, I actively incorporate sustainability in my work.",3,"Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements)",0,0,0,1,0,1,"Clean water supply, Electricity, Internet access",1,1,0,0,1,3,"Poor implementation by institutions, Lack of awareness about sustainability policies, Unorganized infrastructure for water, waste, and energy, Low government support for sustainability, Limited knowledge about renewable energy solutions, Weak public involvement in sustainability efforts",Calabar,South South,Not familiar,0,I am unsure or do not have enough information on the topic.,2,"Increased flooding, Land-use change, Rising temperatures, Informal settlement expansion",1,1,0,1,1,4,To a great extent,2,"Waste Management, Water Conservation, Energy Efficiency, Green Infrastructure, Climate-resilient Design",1,1,1,1,1,5,,
2025-08-28 18:18:14,35 - 44,Female,11 - 20 years,Real Estate Professionals,Very familiar,2,Somewhat familiar,1,"Yes, to some extent",1,"Yes, but only occasionally or when required.",2,"Waste management strategies (e.g., recycling, composting, safe disposal), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs)",1,0,1,0,0,2,"Clean water supply, Solid waste collection, Sewerage/drainage",1,0,1,1,0,3,"Poor implementation by institutions, Lack of awareness about sustainability policies, Not enough funding for green projects, Low government support for sustainability, Weak public involvement in sustainability efforts",Abuja,North Central,Somewhat familiar,1,"Yes, but only with significant efforts and external support",3,"Increased flooding, Land-use change, Urban sprawl, Rising temperatures",1,1,1,1,0,4,To a great extent,2,"Waste Management, Water Conservation, Energy Efficiency, Green Infrastructure, Climate-resilient Design",1,1,1,1,1,5,,
2025-08-28 23:25:06,25 - 34,Male,6 - 10 years,Quantity Surveyors,Somewhat familiar,1,Somewhat familiar,1,"Yes, to some extent",1,"Yes, but only occasionally or when required.",2,"Waste management strategies (e.g., recycling, composting, safe disposal)",1,0,0,0,0,1,Electricity,0,1,0,0,0,1,Lack of awareness about sustainability policies,Enugu,South East,Somewhat familiar,1,"Yes, but only with significant efforts and external support",3,"Land-use change, ",0,1,0,0,0,1,To a great extent,2,Green Infrastructure,0,0,0,1,0,1,,
2025-08-29 08:18:01,35 - 44,Male,6 - 10 years,Engineers,Very familiar,2,"Yes, i am very familiar",2,"Yes, to some extent",1,"Yes, but only occasionally or when required.",2,"Waste management strategies (e.g., recycling, composting, safe disposal), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements), Climate-resilient design (e.g., flood proof designs, heat-resilient materials)",1,0,1,1,1,4,"Clean water supply, Internet access",1,0,0,0,1,2,"Lack of awareness about sustainability policies, Not enough funding for green projects, Unorganized infrastructure for water, waste, and energy, Low government support for sustainability, Limited knowledge about renewable energy solutions, Weak public involvement in sustainability efforts",Kano,North West,Somewhat familiar,1,"No, achieving these goals seems unlikely under current circumstances",1,"Land-use change, Rising temperatures",0,1,0,1,0,2,To a moderate extent,1,"Waste Management, Water Conservation, Climate-resilient Design",1,1,0,0,1,3,,
2025-08-29 09:25:23,25 - 34,Male,11 - 20 years,Project Managers,Very familiar,2,Somewhat familiar,1,"Yes, to some extent",1,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal), Water conservation methods (e.g., rainwater harvesting, low-flow systems), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements)",1,1,1,1,0,4,"Clean water supply, Solid waste collection, Sewerage/drainage, Internet access",1,0,1,1,1,4,"Poor implementation by institutions, Lack of awareness about sustainability policies, Not enough funding for green projects, Unorganized infrastructure for water, waste, and energy, Low government support for sustainability, Limited knowledge about renewable energy solutions",Lagos,South West,Somewhat familiar,1,"Yes, but only with significant efforts and external support",3,"Increased flooding, Urban sprawl, Rising temperatures",1,0,1,1,0,3,To a great extent,2,"Waste Management, Water Conservation, Energy Efficiency, Green Infrastructure, Climate-resilient Design",1,1,1,1,1,5,,
2025-08-29 16:10:32,25 - 34,Female,3 - 5 years,Environmental Professionals,Very familiar,2,"Yes, i am very familiar",2,"Yes, to some extent",1,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Climate-resilient design (e.g., flood proof designs, heat-resilient materials)",1,0,1,0,1,3,"Clean water supply, Electricity, Sewerage/drainage, Internet access",1,1,0,1,1,4,"Lack of awareness about sustainability policies, Not enough funding for green projects, Limited knowledge about renewable energy solutions, Weak public involvement in sustainability efforts, Regional inequality in infrastructure or service delivery",Kaduna,North West,Somewhat familiar,1,"Yes, but only with significant efforts and external support",3,"Land-use change, Urban sprawl, Rising temperatures, Informal settlement expansion",0,1,1,1,1,4,To a great extent,2,"Waste Management, Water Conservation, Energy Efficiency, Green Infrastructure, Climate-resilient Design",1,1,1,1,1,5,,
2025-08-29 18:53:30,35 - 44,Male,11 - 20 years,Engineers,Very familiar,2,Somewhat familiar,1,"Yes, extensively",2,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal), Water conservation methods (e.g., rainwater harvesting, low-flow systems), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements), Climate-resilient design (e.g., flood proof designs, heat-resilient materials)",1,1,1,1,1,5,"Clean water supply, Electricity, Internet access",1,1,0,0,1,3,"Poor implementation by institutions, Lack of awareness about sustainability policies, Low government support for sustainability, Limited knowledge about renewable energy solutions, Weak public involvement in sustainability efforts",Borno,North East,Somewhat familiar,1,"Yes, but only with significant efforts and external support",3,"Increased flooding, Urban sprawl, Rising temperatures, Informal settlement expansion",1,0,1,1,1,4,To a great extent,2,"Energy Efficiency, Green Infrastructure, Climate-resilient Design",0,0,1,1,1,3,,
2025-08-29 21:16:18,Under 25,Female,0 -2 years,Architect,Not familiar,0,Somewhat familiar,1,"Yes, to some extent",1,"Yes, but only occasionally or when required.",2,"Water conservation methods (e.g., rainwater harvesting, low-flow systems), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements)",0,1,1,1,0,3,Electricity,0,1,0,0,0,1,"Lack of awareness about sustainability policies, Not enough funding for green projects, Unorganized infrastructure for water, waste, and energy, Low government support for sustainability, Limited knowledge about renewable energy solutions, Weak public involvement in sustainability efforts, Regional inequality in infrastructure or service delivery",Lagos,South West,Not familiar,0,I am unsure or do not have enough information on the topic.,2,"Increased flooding, Land-use change, Urban sprawl, Rising temperatures",1,1,1,1,0,4,To a moderate extent,1,"Waste Management, Water Conservation, Climate-resilient Design",1,1,0,0,1,3,,
2025-08-30 19:06:42,Under 25,Female,0 -2 years,Urban Planners,Somewhat familiar,1,Somewhat familiar,1,"Yes, to some extent",1,"Yes, but only occasionally or when required.",2,"Climate-resilient design (e.g., flood proof designs, heat-resilient materials)",0,0,0,0,1,1,Clean water supply,1,0,0,0,0,1,"Poor implementation by institutions, Lack of awareness about sustainability policies, Not enough funding for green projects",Kwara,North Central,Not familiar,0,"Yes, but only with significant efforts and external support",3,"Increased flooding, Land-use change",1,1,0,0,0,2,To a great extent,2,"Green Infrastructure, Climate-resilient Design",0,0,0,1,1,2,,
2025-08-31 07:17:21,25 - 34,Male,11 - 20 years,Environmental Professionals,Expert level,3,"Yes, i am very familiar",2,"Yes, to some extent",1,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal), ",1,0,0,0,0,1,Internet access,0,0,0,0,1,1,"Poor implementation by institutions, Lack of awareness about sustainability policies, Unorganized infrastructure for water, waste, and energy, Low government support for sustainability, Weak public involvement in sustainability efforts",Abuja,North Central,Expert level,3,"No, achieving these goals seems unlikely under current circumstances",1,"Increased flooding, Land-use change, Rising temperatures",1,1,0,1,0,3,To a great extent,2,"Waste Management, Water Conservation, Energy Efficiency, Climate-resilient Design",1,1,1,0,1,4,,
2025-08-31 21:19:38,25 - 34,Male,6 - 10 years,Quantity Surveyors,Very familiar,2,"Yes, i am very familiar",2,"Yes, to some extent",1,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal)",1,0,0,0,0,1,Electricity,0,1,0,0,0,1,Weak public involvement in sustainability efforts,Anambra,South East,Somewhat familiar,1,"Yes, but only with significant efforts and external support",3,Rising temperatures,0,0,0,1,0,1,To a great extent,2,Green Infrastructure,0,0,0,1,0,1,,
2025-09-01 07:21:32,35 - 44,Female,11 - 20 years,Architect,Very familiar,2,"Yes, i am very familiar",2,"Yes, to some extent",1,"Yes, I actively incorporate sustainability in my work.",3,"Water conservation methods (e.g., rainwater harvesting, low-flow systems), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements), Climate-resilient design (e.g., flood proof designs, heat-resilient materials)",0,1,1,1,1,4,"Clean water supply, Electricity",1,1,0,0,0,2,"Lack of awareness about sustainability policies, Unorganized infrastructure for water, waste, and energy, Weak public involvement in sustainability efforts",Ondo,South West,Somewhat familiar,1,"Yes, but only with significant efforts and external support",3,"Increased flooding, Rising temperatures, Informal settlement expansion",1,0,0,1,1,3,To a moderate extent,1,Waste Management,1,0,0,0,0,1,,
2025-09-01 15:54:39,35 - 44,Female,11 - 20 years,Environmental Professionals,Very familiar,2,"Yes, i am very familiar",2,"Yes, to some extent",1,"Yes, I actively incorporate sustainability in my work.",3,"Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements)",0,0,1,1,0,2,"Clean water supply, Electricity, Sewerage/drainage, Internet access",1,1,0,1,1,4,"Poor implementation by institutions, Lack of awareness about sustainability policies, Not enough funding for green projects, Low government support for sustainability, Limited knowledge about renewable energy solutions",Abuja,North Central,Very familiar,2,"Yes, but only with significant efforts and external support",3,"Increased flooding, Land-use change, Urban sprawl, Rising temperatures",1,1,1,1,0,4,To a great extent,2,"Waste Management, Energy Efficiency, Green Infrastructure, Climate-resilient Design",1,0,1,1,1,4,,
2025-09-02 13:10:00,25 - 34,Female,6 - 10 years,Quantity Surveyors,Not familiar,0,Somewhat familiar,1,"Yes, to some extent",1,"Yes, but only occasionally or when required.",2,"Waste management strategies (e.g., recycling, composting, safe disposal), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements)",1,0,1,1,0,3,"Clean water supply, Electricity, Solid waste collection, Sewerage/drainage",1,1,1,1,0,4,"Poor implementation by institutions, Lack of awareness about sustainability policies",Lagos,South West,Not familiar,0,"Yes, but only with significant efforts and external support",3,Increased flooding,1,0,0,0,0,1,To a great extent,2,"Waste Management, Water Conservation, Green Infrastructure",1,1,0,1,0,3,,
2025-09-04 09:48:07,35 - 44,Male,6 - 10 years,Engineers,Very familiar,2,"Yes, i am very familiar",2,"Yes, to some extent",1,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs)",1,0,1,0,0,2,"Clean water supply, Electricity, Solid waste collection, Sewerage/drainage",1,1,1,1,0,4,"Poor implementation by institutions, Lack of awareness about sustainability policies, Not enough funding for green projects, Unorganized infrastructure for water, waste, and energy, Low government support for sustainability, Limited knowledge about renewable energy solutions, Weak public involvement in sustainability efforts, Regional inequality in infrastructure or service delivery",Borno,North East,Somewhat familiar,1,"Yes, but only with significant efforts and external support",3,"Increased flooding, Land-use change, Urban sprawl, Rising temperatures, Informal settlement expansion",1,1,1,1,1,5,To a great extent,2,"Waste Management, Water Conservation, Energy Efficiency, Green Infrastructure, Climate-resilient Design",1,1,1,1,1,5,,
2025-09-05 13:04:24,25 - 34,Male,3 - 5 years,Quantity Surveyors,Somewhat familiar,1,Somewhat familiar,1,"Yes, to some extent",1,"Yes, I actively incorporate sustainability in my work.",3,"Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs)",0,0,1,0,0,1,Electricity,0,1,0,0,0,1,Low government support for sustainability,Port-Harcourt,South South,Somewhat familiar,1,"Yes, definitely achievable",4,Increased flooding,1,0,0,0,0,1,To a great extent,2,"Waste Management, Energy Efficiency, Green Infrastructure, Climate-resilient Design",1,0,1,1,1,4,,
2025-09-05 18:54:25,25 - 34,Male,0 -2 years,Urban Planners,Very familiar,2,"Yes, i am very familiar",2,"Yes, extensively",2,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs)",1,0,1,0,0,2,"Electricity, Solid waste collection",0,1,1,0,0,2,"Lack of awareness about sustainability policies, Not enough funding for green projects, Unorganized infrastructure for water, waste, and energy, Low government support for sustainability, Weak public involvement in sustainability efforts",Lagos,South West,Not familiar,0,"No, achieving these goals seems unlikely under current circumstances",1,"Increased flooding, Urban sprawl, Informal settlement expansion",1,0,1,0,1,3,To a great extent,2,"Waste Management, Energy Efficiency, Green Infrastructure, Climate-resilient Design",1,0,1,1,1,4,,
2025-09-07 13:19:27,25 - 34,Male,3 - 5 years,Engineers,Very familiar,2,"Yes, i am very familiar",2,"Yes, to some extent",1,"Yes, but only occasionally or when required.",2,"Waste management strategies (e.g., recycling, composting, safe disposal), Water conservation methods (e.g., rainwater harvesting, low-flow systems), Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements)",1,1,1,1,0,4,"Clean water supply, Solid waste collection, Sewerage/drainage",1,0,1,1,0,3,"Poor implementation by institutions, Lack of awareness about sustainability policies, Unorganized infrastructure for water, waste, and energy, Limited knowledge about renewable energy solutions",Nasarawa,North Central,Somewhat familiar,1,"No, achieving these goals seems unlikely under current circumstances",1,"Increased flooding, Rising temperatures",1,0,0,1,0,2,To a small extent,0,"Waste Management, Water Conservation, Green Infrastructure",1,1,0,1,0,3,,
2025-09-08 12:03:31,25 - 34,Male,0 -2 years,Real Estate Professionals,Somewhat familiar,1,Somewhat familiar,1,Not really,0,"Yes, but only occasionally or when required.",2,"Energy efficiency measures (e.g., solar panels, energy audits, efficient HVACs)",0,0,1,0,0,1,Solid waste collection,0,0,1,0,0,1,"Poor implementation by institutions, Lack of awareness about sustainability policies, Unorganized infrastructure for water, waste, and energy, Low government support for sustainability",Lagos,South West,Not familiar,0,I am unsure or do not have enough information on the topic.,2,"Increased flooding, Rising temperatures",1,0,0,1,0,2,To a moderate extent,1,"Energy Efficiency, Green Infrastructure, Climate-resilient Design",0,0,1,1,1,3,,
2025-09-08 22:00:34,35 - 44,Male,11 - 20 years,Architect,Very familiar,2,"Yes, i am very familiar",2,"Yes, to some extent",1,"Yes, I actively incorporate sustainability in my work.",3,"Waste management strategies (e.g., recycling, composting, safe disposal), Water conservation methods (e.g., rainwater harvesting, low-flow systems), Use of green infrastructure (e.g., green roofs, urban vegetation, permeable pavements), Climate-resilient design (e.g., flood proof designs, heat-resilient materials)",1,1,0,1,1,4,"Clean water supply, Solid waste collection, Sewerage/drainage",1,0,1,1,0,3,"Poor implementation by institutions, Not enough funding for green projects, Unorganized infrastructure for water, waste, and energy, Low government support for sustainability, Limited knowledge about renewable energy solutions, Regional inequality in infrastructure or service delivery",Borno,North East,Very familiar,2,"Yes, but only with significant efforts and external support",3,"Increased flooding, Rising temperatures",1,0,0,1,0,2,To a great extent,2,"Waste Management, Water Conservation, Energy Efficiency, Green Infrastructure, Climate-resilient Design",1,1,1,1,1,5,,
